nbr,DGP,noise_level,model,sample_size,x_cut_off,y_cut_off,nbr_run,CV_max_m,shap_max_m,min_x_frac,do_ML,do_shap
107,1,0,NN,1000,5,5,7,10000,3162,0.1,TRUE,TRUE
108,1,0,NN,1000,5,5,8,10000,3162,0.1,TRUE,TRUE
109,1,0,NN,1000,5,5,9,10000,3162,0.1,TRUE,TRUE
110,1,0,NN,1000,5,5,10,10000,3162,0.1,TRUE,TRUE
111,1,0,NN,1000,5,5,11,10000,3162,0.1,TRUE,TRUE
112,1,0,NN,1000,5,5,12,10000,3162,0.1,TRUE,TRUE
113,1,0,NN,1000,5,5,13,10000,3162,0.1,TRUE,TRUE
114,1,0,NN,1000,5,5,14,10000,3162,0.1,TRUE,TRUE
115,1,0,NN,1000,5,5,15,10000,3162,0.1,TRUE,TRUE
116,1,0,NN,1000,5,5,16,10000,3162,0.1,TRUE,TRUE
117,1,0,NN,1000,5,5,17,10000,3162,0.1,TRUE,TRUE
118,1,0,NN,1000,5,5,18,10000,3162,0.1,TRUE,TRUE
119,1,0,NN,1000,5,5,19,10000,3162,0.1,TRUE,TRUE
120,1,0,NN,1000,5,5,20,10000,3162,0.1,TRUE,TRUE
121,1,0,NN,1000,5,5,21,10000,3162,0.1,TRUE,TRUE
122,1,0,NN,1000,5,5,22,10000,3162,0.1,TRUE,TRUE
123,1,0,NN,1000,5,5,23,10000,3162,0.1,TRUE,TRUE
124,1,0,NN,1000,5,5,24,10000,3162,0.1,TRUE,TRUE
125,1,0,NN,1000,5,5,25,10000,3162,0.1,TRUE,TRUE
126,1,0,NN,1000,5,5,26,10000,3162,0.1,TRUE,TRUE
127,1,0,NN,1000,5,5,27,10000,3162,0.1,TRUE,TRUE
128,1,0,NN,1000,5,5,28,10000,3162,0.1,TRUE,TRUE
129,1,0,NN,1000,5,5,29,10000,3162,0.1,TRUE,TRUE
130,1,0,NN,1000,5,5,30,10000,3162,0.1,TRUE,TRUE
131,1,0,NN,1000,5,5,31,10000,3162,0.1,TRUE,TRUE
132,1,0,NN,1000,5,5,32,10000,3162,0.1,TRUE,TRUE
133,1,0,NN,1000,5,5,33,10000,3162,0.1,TRUE,TRUE
134,1,0,NN,1000,5,5,34,10000,3162,0.1,TRUE,TRUE
135,1,0,NN,1000,5,5,35,10000,3162,0.1,TRUE,TRUE
136,1,0,NN,1000,5,5,36,10000,3162,0.1,TRUE,TRUE
137,1,0,NN,1000,5,5,37,10000,3162,0.1,TRUE,TRUE
138,1,0,NN,1000,5,5,38,10000,3162,0.1,TRUE,TRUE
139,1,0,NN,1000,5,5,39,10000,3162,0.1,TRUE,TRUE
140,1,0,NN,1000,5,5,40,10000,3162,0.1,TRUE,TRUE
141,1,0,NN,1000,5,5,41,10000,3162,0.1,TRUE,TRUE
142,1,0,NN,1000,5,5,42,10000,3162,0.1,TRUE,TRUE
143,1,0,NN,1000,5,5,43,10000,3162,0.1,TRUE,TRUE
